LAYER,NAR_ID,MAPPING,RECIPE,SOURCE_OAKPEAK2,TARGET_OAKPEAK2,BIRCHVALE2,XML_PATH,RECIPE_PATH,FIRPIER2
DWH,N/A,m_DWH_MAPLEGROVE_ACT_CLIENTMGR_PROFILES.xml,_ETL_m_DWH_MAPLEGROVE_ACT_CLIENTMGR_PROFILES.json,"[""joiner"",""BERYLFALLS"",""table""]","[""ASHPATH2"",""BERYLFALLS"",""table""]","[""EXP_PINECOMBE"",""EXP_OAKPEAK"",""EXP_CONCAT"",""EXP_DECODE"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_ISNULL"",""EXP_ASHBROOK"",""EXP_NOT"",""EXP_SUBSTR"",""EXP_TO_CHAR"",""EXP_TO_DATE"",""EXP_TO_DECIMAL"",""EXP_TRIM""]",DWH/m_DWH_MAPLEGROVE_ACT_CLIENTMGR_PROFILES.xml,DWH/m_DWH_MAPLEGROVE_ACT_CLIENTMGR_PROFILES/_ETL_m_DWH_MAPLEGROVE_ACT_CLIENTMGR_PROFILES.json,
ETL,N/A,m_DWH_E_F_OVERSIGHT.xml,_ETL_m_DWH_E_F_OVERSIGHT.json,"[""aggregator"",""filter"",""BERYLFALLS"",""table"",""union""]","[""aggregator"",""filter"",""BERYLFALLS"",""table"",""EARLYGLADE""]","[""EXP_ABS"",""EXP_PINECOMBE"",""EXP_OAKPEAK"",""EXP_CONCAT"",""EXP_GET_DATE_PART"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_IN"",""EXP_ISNULL"",""EXP_LAST_DAY"",""EXP_LENGTH"",""EXP_ASHBROOK"",""EXP_LPAD"",""EXP_NOT"",""EXP_SET_ID_MIS_ERP"",""EXP_SUBSTR"",""EXP_SUM"",""EXP_TO_CHAR"",""EXP_TO_DATE"",""EXP_TO_DECIMAL""]",ETL/m_DWH_E_F_OVERSIGHT.xml,ETL/m_DWH_E_F_OVERSIGHT/_ETL_m_DWH_E_F_OVERSIGHT.json,
ETL,N/A,m_DWH_E_MAPLESHORE_ERP_STAFF.xml,_ETL_m_DWH_E_MAPLESHORE_ERP_STAFF.json,"[""BERYLFALLS"",""table""]","[""BERYLFALLS"",""table""]","[""EXP_OAKPEAK"",""EXP_OUTERCROFT_TO_DATE"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_LPAD"",""EXP_SUBSTR"",""EXP_TO_DECIMAL"",""EXP_TRIM"",""EXP_MAPLEVALE_DATE"",""EXP_MAPLEVALE_DECIMAL"",""EXP_MAPLEVALE_NUM"",""EXP_MAPLEVALE_NUM_NOT_NULL"",""SequenceGenerator""]",ETL/m_DWH_E_MAPLESHORE_ERP_STAFF.xml,ETL/m_DWH_E_MAPLESHORE_ERP_STAFF/_ETL_m_DWH_E_MAPLESHORE_ERP_STAFF.json,
DWH,N/A,m_LOAD_LKP_MEMBER_SEGMENTED_RULESET_INSERT.xml,_ETL_m_LOAD_LKP_MEMBER_SEGMENTED_RULESET_INSERT.json,"[""aggregator"",""filter"",""BERYLFALLS"",""table""]","[""aggregator"",""filter"",""BERYLFALLS"",""table""]","[""EXP_OAKPEAK"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_ISNULL"",""EXP_ASHBROOK"",""EXP_MAX"",""EXP_MIN"",""EXP_TO_CHAR"",""EXP_TO_INTEGER""]",DWH/m_LOAD_LKP_MEMBER_SEGMENTED_RULESET_INSERT.xml,DWH/m_LOAD_LKP_MEMBER_SEGMENTED_RULESET_INSERT/_ETL_m_LOAD_LKP_MEMBER_SEGMENTED_RULESET_INSERT.json,
ETL,N/A,m_DWH_E_MAPLEGROVE_DEALFLOW_MIS_GCP1.xml,_ETL_m_DWH_E_MAPLEGROVE_DEALFLOW_MIS_GCP1.json,"[""filter"",""router"",""BERYLFALLS"",""table"",""union""]","[""filter"",""router"",""BERYLFALLS"",""table"",""EARLYGLADE""]","[""EXP_PINECOMBE"",""EXP_OAKPEAK"",""EXP_CONCAT"",""EXP_GET_SYSTEM_DATE"",""EXP_GREATEST"",""EXP_IIF"",""EXP_ISNULL"",""EXP_LENGTH"",""EXP_ASHBROOK"",""EXP_LPAD"",""EXP_NOT"",""EXP_BIRCHYARD"",""EXP_SUBSTR"",""EXP_TO_CHAR"",""EXP_TO_DECIMAL"",""EXP_TRIM"",""EXP_TRUNC""]",ETL/m_DWH_E_MAPLEGROVE_DEALFLOW_MIS_GCP1.xml,ETL/m_DWH_E_MAPLEGROVE_DEALFLOW_MIS_GCP1/_ETL_m_DWH_E_MAPLEGROVE_DEALFLOW_MIS_GCP1.json,
ETL,N/A,m_DWH_E_MAPLEGROVE_CALLHUB_MAPLEBEND_OAKRIVER.XML,_ETL_m_DWH_E_MAPLEGROVE_CALLHUB_MAPLEBEND_OAKRIVER.json,"[""java"",""BERYLFALLS"",""table""]","[""java"",""BERYLFALLS"",""table""]","[""EXP_PINECOMBE"",""EXP_OAKPEAK"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_INSTR"",""EXP_ISNULL"",""EXP_LENGTH"",""EXP_REPLACESTR"",""EXP_SUBSTR"",""EXP_TO_CHAR"",""EXP_TO_DATE"",""EXP_TO_DECIMAL""]",ETL/m_DWH_E_MAPLEGROVE_CALLHUB_MAPLEBEND_OAKRIVER.XML,ETL/m_DWH_E_MAPLEGROVE_CALLHUB_MAPLEBEND_OAKRIVER/_ETL_m_DWH_E_MAPLEGROVE_CALLHUB_MAPLEBEND_OAKRIVER.json,
DWH,N/A,m_OAKCOMBE3_ODS_TEZ52.xml,_ETL_m_OAKCOMBE3_ODS_TEZ52.json,"[""filter"",""BERYLFALLS"",""table""]","[""filter"",""BERYLFALLS"",""table""]","[""EXP_OAKPEAK"",""EXP_CONCAT"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_LENGTH"",""EXP_ASHBROOK"",""EXP_TRIM"",""EXP_UPPER"",""EXP_MAPLEVALE_LOOKUP""]",DWH/m_OAKCOMBE3_ODS_TEZ52.xml,DWH/m_OAKCOMBE3_ODS_TEZ52/_ETL_m_OAKCOMBE3_ODS_TEZ52.json,
DWH,N/A,m_DWH_MAPLEGROVE_PARTYPROFILE_INSERT.XML,_ETL_m_DWH_MAPLEGROVE_PARTYPROFILE_INSERT.json,"[""filter"",""BERYLFALLS"",""table""]","[""filter"",""BERYLFALLS"",""table""]","[""EXP_ADD_TO_DATE"",""EXP_OAKPEAK"",""EXP_GET_SYSTEM_DATE"",""EXP_IIF"",""EXP_ISNULL"",""EXP_ASHBROOK"",""EXP_TO_CHAR"",""EXP_ROWANCLIFF_OUTERCROFT""]",DWH/m_DWH_MAPLEGROVE_PARTYPROFILE_INSERT.XML,DWH/m_DWH_MAPLEGROVE_PARTYPROFILE_INSERT/_ETL_m_DWH_MAPLEGROVE_PARTYPROFILE_INSERT.json,
DWH,N/A,m_DWH_E_LKP_DIR_PHONELIST.xml,_ETL_m_DWH_E_LKP_DIR_PHONELIST.json,"[""filter"",""normalizer"",""BERYLFALLS"",""table"",""union""]","[""filter"",""normalizer"",""BERYLFALLS"",""table"",""EARLYGLADE""]","[""EXP_PINECOMBE"",""EXP_OAKPEAK"",""EXP_CONCAT"",""EXP_GET_SYSTEM_DATE"",""EXP_LENGTH"",""EXP_LPAD"",""EXP_SUBSTR"",""EXP_TO_CHAR"",""EXP_TO_DECIMAL"",""EXP_TRIM""]",DWH/m_DWH_E_LKP_DIR_PHONELIST.xml,DWH/m_DWH_E_LKP_DIR_PHONELIST/_ETL_m_DWH_E_LKP_DIR_PHONELIST.json,
QDM,N/A,m_GENERATE_ERROR_BRISKGROVE.XML,_ETL_m_GENERATE_ERROR_BRISKGROVE.json,"[""filter"",""BERYLFALLS"",""CEDARWICK2"",""table""]","[""filter"",""BERYLFALLS"",""CEDARWICK2"",""table""]","[""EXP_OAKPEAK"",""EXP_IIF""]",QDM/m_GENERATE_ERROR_BRISKGROVE.XML,QDM/m_GENERATE_ERROR_BRISKGROVE/_ETL_m_GENERATE_ERROR_BRISKGROVE.json,
